address,chain,first_seen,last_seen,total_trades,total_sells,winning_sells,losing_sells,win_rate,avg_profit,avg_hold_duration,score,in_whitelist,is_whale
0x8ba764d558b05c83721d7058b61ad52ec010ba18,ethereum,2026-08-04T11:10:42.722243,2026-08-04T11:10:42.722245,1,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x1a83564b06cdde3d13e7ed02593263339c11c283,ethereum,2026-08-04T11:10:43.758084,2026-08-08T14:05:42.433586,11,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x8bb56568cf417ab345c00eb68895e5f70b4a613a,ethereum,2026-08-04T11:10:43.824213,2026-08-08T14:05:42.503236,11,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xa4e36c0cf96e9fb95834c1982e001686260604db,ethereum,2026-08-04T11:10:43.876928,2026-08-08T14:05:42.566996,11,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xe0a08fd1366b5b4cf256db1a85b6eb0e01aacbce,ethereum,2026-08-04T11:10:43.937289,2026-08-08T14:05:42.631012,11,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x69816490bcf638f5f6d6b7d8e2cd8e073217a6ae,ethereum,2026-08-04T17:24:49.847620,2026-08-08T10:05:04.837531,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc4704f13d5e08b27b039d53873e813dd2fad99d9,ethereum,2026-08-04T17:24:49.886605,2026-08-08T10:05:04.880970,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x95af4af910c28e8ece4512bfe46f1f33687424ce,ethereum,2026-08-04T17:24:49.923249,2026-08-08T10:05:04.922914,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x63dffaaacfb9a63921cff4c22c9c4b09c519e3dd,ethereum,2026-08-04T17:24:49.959178,2026-08-08T10:05:04.961369,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x090d660e29061523fe0d20adf73d527e5e75a2e0,ethereum,2026-08-05T11:05:49.035195,2026-08-09T21:05:20.075187,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x4298e4ad48be89bf63a6fdc470a4b4fe9ce633b1,ethereum,2026-08-05T11:05:49.111900,2026-08-09T21:05:20.162950,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xe2c456b849be4cd14d8422d9868953ac60633e0d,ethereum,2026-08-05T11:05:49.166962,2026-08-09T21:05:20.253275,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x603366cc7ca9b49aa3e9ea22bd0a540ba4fa5171,ethereum,2026-08-05T11:05:49.243470,2026-08-09T21:05:20.342064,2,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x41bc04c8639aa3b39dc036900b7d7575301afa88,ethereum,2026-08-05T11:05:50.515873,2026-08-09T21:05:22.979182,15,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,ethereum,2026-08-05T11:05:50.597766,2026-08-09T21:05:23.069457,15,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x2cc846fff0b08fb3bffad71f53a60b4b6e6d6482,ethereum,2026-08-05T11:05:50.661978,2026-08-09T21:05:23.162362,15,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x6313beee7d0e32c6442078288fbdb74d0a8fc1a5,ethereum,2026-08-05T11:05:50.731165,2026-08-09T21:05:23.249644,15,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xbbd04d4e164d1aec3b62f1e91807e73179d5ed5c,ethereum,2026-08-05T21:55:40.240953,2026-08-14T19:59:14.389079,9,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x001087bc197aa40bb0c6893112fec044e32156c4,ethereum,2026-08-05T21:55:40.300681,2026-08-14T19:59:14.398135,9,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x4200000623d0242cccd4e907008583dcb4af6472,ethereum,2026-08-05T21:55:40.384901,2026-08-08T14:05:43.998572,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xa72774fb5a2f7473e18f026a670f17df493b99fa,ethereum,2026-08-05T21:55:40.439485,2026-08-08T14:05:44.061093,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xaa4f58e9aafd36b4b6446f6dc417c02908641a7c,ethereum,2026-08-07T09:44:50.790128,2026-08-14T06:56:52.661749,16,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x26e550ac11b26f78a04489d5f20f24e3559f7dd9,ethereum,2026-08-07T09:44:50.845221,2026-08-09T21:05:24.488030,15,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xfff8d5fff6ee3226fa2f5d7d5d8c3ff785be9c74,ethereum,2026-08-07T09:44:50.900466,2026-08-14T06:56:52.670269,16,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xeec2c05c9c331b66e1c25b1b9cdeb705cca58893,ethereum,2026-08-07T09:44:50.948004,2026-08-09T21:05:24.664715,15,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc165e8c1e3ee6878987b8a26a50efe8dde4d352a,ethereum,2026-08-07T15:38:28.422495,2026-08-11T11:55:51.837432,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc114cf69972e3c1b4b529e0418012c01fcf9e725,ethereum,2026-08-07T15:38:28.498810,2026-08-11T09:34:44.060307,6,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xf15b73e7f5edcfc0d91da289c21d9af89cf377ce,ethereum,2026-08-07T15:38:28.575972,2026-08-11T11:55:51.844224,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xb2a6103057583b927b4066efc65de15cfe0ae157,ethereum,2026-08-07T15:38:28.655940,2026-08-11T09:34:44.141222,6,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xf75abfb159a5a960f854be03575df74277cb72e8,ethereum,2026-08-08T05:11:13.405534,2026-08-08T11:49:28.435145,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xebb66a88cedd12bfe3a289df6dfee377f2963f12,ethereum,2026-08-08T05:11:13.456273,2026-08-08T11:49:28.474571,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x9b9d97a9215882f4a68b0d0d591d5aaeb29e5e47,ethereum,2026-08-08T05:11:13.506212,2026-08-08T11:49:28.514108,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
